dateTime,dateTime,heatContent
2011-09-03 12:00:00,2011-09-03 12:00:00,3046949499.9649405
2011-09-04 12:00:00,2011-09-04 12:00:00,3105414411.6477704
2011-09-05 12:00:00,2011-09-05 12:00:00,3204752136.8439865
2011-09-06 12:00:00,2011-09-06 12:00:00,3262778763.1444135
2011-09-07 12:00:00,2011-09-07 12:00:00,3292489720.052194
2011-09-08 12:00:00,2011-09-08 12:00:00,3324814740.663612
2011-09-09 12:00:00,2011-09-09 12:00:00,3327283132.5739703
2011-09-10 12:00:00,2011-09-10 12:00:00,3325994886.194175
2011-09-11 12:00:00,2011-09-11 12:00:00,2993935236.983509
2011-09-12 12:00:00,2011-09-12 12:00:00,3213008177.388623
2011-09-13 12:00:00,2011-09-13 12:00:00,3369344689.4261465
2011-09-14 12:00:00,2011-09-14 12:00:00,3378423077.684524
2011-09-15 12:00:00,2011-09-15 12:00:00,3118247860.994626
2011-09-16 12:00:00,2011-09-16 12:00:00,3357229897.124947
2011-09-17 12:00:00,2011-09-17 12:00:00,3537759126.290157
2011-09-18 12:00:00,2011-09-18 12:00:00,3517662071.5382614
2011-09-19 12:00:00,2011-09-19 12:00:00,3271909287.5956206
2011-09-20 12:00:00,2011-09-20 12:00:00,3192580731.105168
2011-09-21 12:00:00,2011-09-21 12:00:00,3331153836.598677
2011-09-22 12:00:00,2011-09-22 12:00:00,3487788914.8949156
2011-09-23 12:00:00,2011-09-23 12:00:00,3141066549.646174
2011-09-24 12:00:00,2011-09-24 12:00:00,3252644489.161375
2011-09-25 12:00:00,2011-09-25 12:00:00,3476234586.2659283
2011-09-26 12:00:00,2011-09-26 12:00:00,3545395272.655193
2011-09-27 12:00:00,2011-09-27 12:00:00,3372820096.25759
2011-09-28 12:00:00,2011-09-28 12:00:00,3430734150.693635
2011-09-29 12:00:00,2011-09-29 12:00:00,3472702520.0919952
2011-09-30 12:00:00,2011-09-30 12:00:00,3446588968.247527
2011-10-01 12:00:00,2011-10-01 12:00:00,3126316189.8851852
2011-10-02 12:00:00,2011-10-02 12:00:00,3190193978.530941
2011-10-03 12:00:00,2011-10-03 12:00:00,3246947275.472779
2011-10-04 12:00:00,2011-10-04 12:00:00,3283107314.1993155
2011-10-05 12:00:00,2011-10-05 12:00:00,3596356847.074527
2011-10-06 12:00:00,2011-10-06 12:00:00,3609716468.016374
2011-10-07 12:00:00,2011-10-07 12:00:00,3653101845.293568
2011-10-08 12:00:00,2011-10-08 12:00:00,3689850509.435802
2011-10-09 12:00:00,2011-10-09 12:00:00,3761843147.8965626
2011-10-10 12:00:00,2011-10-10 12:00:00,3696816873.329245
2011-10-11 12:00:00,2011-10-11 12:00:00,3616394799.5698876
2011-10-12 12:00:00,2011-10-12 12:00:00,3583914921.771248
2011-10-13 12:00:00,2011-10-13 12:00:00,3695807086.3367524
2011-10-14 12:00:00,2011-10-14 12:00:00,3702438942.0922494
2011-10-15 12:00:00,2011-10-15 12:00:00,3681662182.112526
2011-10-16 12:00:00,2011-10-16 12:00:00,3648805823.7765927
2011-10-17 12:00:00,2011-10-17 12:00:00,3241307955.136005
2011-10-18 12:00:00,2011-10-18 12:00:00,3494285965.050617
2011-10-19 12:00:00,2011-10-19 12:00:00,3614672222.6475887
2011-10-20 12:00:00,2011-10-20 12:00:00,3618158404.924496
2011-10-21 12:00:00,2011-10-21 12:00:00,3639088630.9466643
2011-10-22 12:00:00,2011-10-22 12:00:00,3535184534.958897
2011-10-23 12:00:00,2011-10-23 12:00:00,3563542396.6188345
2011-10-24 12:00:00,2011-10-24 12:00:00,3641273914.586145
2011-10-25 12:00:00,2011-10-25 12:00:00,3477485338.8653636
2011-10-26 12:00:00,2011-10-26 12:00:00,3497289149.1095557
2011-10-27 12:00:00,2011-10-27 12:00:00,3510333344.912202
2011-10-28 12:00:00,2011-10-28 12:00:00,3499345771.2463574
2011-10-29 12:00:00,2011-10-29 12:00:00,3504173339.496256
2011-10-30 12:00:00,2011-10-30 12:00:00,3526400284.4167447
2011-10-31 12:00:00,2011-10-31 12:00:00,3561060768.770415
2011-11-01 12:00:00,2011-11-01 12:00:00,3603340809.1015906
2011-11-02 12:00:00,2011-11-02 12:00:00,3270886628.0192385
2011-11-03 12:00:00,2011-11-03 12:00:00,3387844571.7390513
2011-11-04 12:00:00,2011-11-04 12:00:00,3514273411.353133
2011-11-05 12:00:00,2011-11-05 12:00:00,3624064252.080965
2011-11-06 12:00:00,2011-11-06 12:00:00,3447490830.759398
2011-11-07 12:00:00,2011-11-07 12:00:00,3468937765.9050484
2011-11-08 12:00:00,2011-11-08 12:00:00,3436518813.0028176
2011-11-09 12:00:00,2011-11-09 12:00:00,3385063542.4215865
2011-11-10 12:00:00,2011-11-10 12:00:00,3675311488.8041835
2011-11-11 12:00:00,2011-11-11 12:00:00,3613156832.871559
2011-11-12 12:00:00,2011-11-12 12:00:00,3527465340.312868
2011-11-13 12:00:00,2011-11-13 12:00:00,3584329399.6464553
2011-11-14 12:00:00,2011-11-14 12:00:00,3692556275.3988748
2011-11-15 12:00:00,2011-11-15 12:00:00,3611204187.161228
2011-11-16 12:00:00,2011-11-16 12:00:00,3612565652.1333933
2011-11-17 12:00:00,2011-11-17 12:00:00,3568204526.887508
2011-11-18 12:00:00,2011-11-18 12:00:00,3335836442.654998
2011-11-19 12:00:00,2011-11-19 12:00:00,3398066262.6242995
2011-11-20 12:00:00,2011-11-20 12:00:00,3451483708.2350326
2011-11-21 12:00:00,2011-11-21 12:00:00,3517441420.9268675
2011-11-22 12:00:00,2011-11-22 12:00:00,3728665096.7081943
2011-11-23 12:00:00,2011-11-23 12:00:00,3824888843.781999
2011-11-24 12:00:00,2011-11-24 12:00:00,3835539530.7977047
2011-11-25 12:00:00,2011-11-25 12:00:00,3885944533.136954
2011-11-26 12:00:00,2011-11-26 12:00:00,3529210903.397791
2011-11-27 12:00:00,2011-11-27 12:00:00,3643307471.6236796
2011-11-28 12:00:00,2011-11-28 12:00:00,3619437750.1668577
2011-11-29 12:00:00,2011-11-29 12:00:00,3644001163.4715366
2011-11-30 12:00:00,2011-11-30 12:00:00,3667101779.914607
2011-12-01 12:00:00,2011-12-01 12:00:00,3653143166.542235
2011-12-02 12:00:00,2011-12-02 12:00:00,3553147254.8441243
2011-12-03 12:00:00,2011-12-03 12:00:00,3504090794.278777
2011-12-04 12:00:00,2011-12-04 12:00:00,3464696184.1792173
2011-12-05 12:00:00,2011-12-05 12:00:00,3364867541.700776
2011-12-06 12:00:00,2011-12-06 12:00:00,3368024530.521725
2011-12-07 12:00:00,2011-12-07 12:00:00,3434419903.7446485
2011-12-08 12:00:00,2011-12-08 12:00:00,3275600180.673791
2011-12-09 12:00:00,2011-12-09 12:00:00,3376085918.8215604
2011-12-10 12:00:00,2011-12-10 12:00:00,3366527600.480586
2011-12-11 12:00:00,2011-12-11 12:00:00,3358296257.7029653
2011-12-12 12:00:00,2011-12-12 12:00:00,3464098884.3737955
2011-12-13 12:00:00,2011-12-13 12:00:00,3453594419.7078533
2011-12-14 12:00:00,2011-12-14 12:00:00,3497468779.701836
2011-12-15 12:00:00,2011-12-15 12:00:00,3497612182.823358
2011-12-16 12:00:00,2011-12-16 12:00:00,3514534527.2841873
2011-12-17 12:00:00,2011-12-17 12:00:00,3546761127.8199835
2011-12-18 12:00:00,2011-12-18 12:00:00,3637679972.9240127
2011-12-19 12:00:00,2011-12-19 12:00:00,3755682159.079954
2011-12-20 12:00:00,2011-12-20 12:00:00,3583249801.4166384
